run_id,test_id,browser,start_time,duration,result,failure_type,screenshot,trace,video,defect_id,notes
RUN-20260808-1,S001,chromium,2026-08-08T10:00:00,1.5s,passed,,,,,,
RUN-20260808-1,S002,chromium,2026-08-08T10:00:02,1.2s,passed,,,,,,
RUN-20260808-1,S003,chromium,2026-08-08T10:00:03,1.1s,passed,,,,,,
RUN-20260808-1,S004,chromium,2026-08-08T10:00:04,1.5s,passed,,,,,,
RUN-20260808-1,S005,chromium,2026-08-08T10:00:06,8.0s,passed,,,,,,18 routes checked
RUN-20260808-1,S006,chromium,2026-08-08T10:00:14,1.0s,passed,,,,,,
RUN-20260808-1,S007,chromium,2026-08-08T10:00:15,1.5s,passed,,,,,,
RUN-20260808-1,S008,chromium,2026-08-08T10:00:17,2.0s,passed,,,,,,
RUN-20260808-1,S009,chromium,2026-08-08T10:00:19,5.0s,passed,,,,,DC-001,Checks no protected content visible
RUN-20260808-1,S010,chromium,2026-08-08T10:00:24,1.5s,passed,,,,,,
RUN-20260808-1,S011,chromium,2026-08-08T10:00:26,1.2s,passed,,,,,,
RUN-20260808-1,D001,chromium,2026-08-08T10:00:27,1.4s,passed,,,,,,
RUN-20260808-1,D002,chromium,2026-08-08T10:00:29,1.7s,passed,,,,,,
RUN-20260808-1,D003,chromium,2026-08-08T10:00:31,1.2s,passed,,,,,,
RUN-20260808-1,D004,chromium,2026-08-08T10:00:32,1.3s,passed,,,,,,
RUN-20260808-1,D005,chromium,2026-08-08T10:00:34,0.3s,passed,,,,,,
RUN-20260808-1,D006,chromium,2026-08-08T10:00:34,1.2s,passed,,,,,,
RUN-20260808-1,R001,chromium,2026-08-08T10:00:36,1.3s,passed,,,,,,
RUN-20260808-1,R002,chromium,2026-08-08T10:00:37,2.0s,passed,,,,,,
RUN-20260808-1,R003,chromium,2026-08-08T10:00:39,1.4s,passed,,,,,,
RUN-20260808-1,RM001,chromium,2026-08-08T10:00:41,1.3s,passed,,,,,,
RUN-20260808-1,RM002,chromium,2026-08-08T10:00:42,1.5s,passed,,,,,,
RUN-20260808-1,RM003,chromium,2026-08-08T10:00:44,0.3s,passed,,,,,,
RUN-20260808-1,A001,chromium,2026-08-08T10:00:44,1.3s,passed,,,,,,
RUN-20260808-1,A002,chromium,2026-08-08T10:00:46,0.6s,passed,,,,,,
RUN-20260808-1,A003,chromium,2026-08-08T10:00:47,1.6s,passed,,,,,,
RUN-20260808-1,A004,chromium,2026-08-08T10:00:48,1.4s,passed,,,,,,
RUN-20260808-1,RL001,chromium,2026-08-08T10:00:50,1.4s,passed,,,,,,
RUN-20260808-1,RL002,chromium,2026-08-08T10:00:52,0.3s,passed,,,,,,
RUN-20260808-1,RL003,chromium,2026-08-08T10:00:52,0.3s,passed,,,,,,
RUN-20260808-1,RL004,chromium,2026-08-08T10:00:53,1.5s,passed,,,,,,
RUN-20260808-1,SF001,chromium,2026-08-08T10:00:55,1.4s,passed,,,,,,
RUN-20260808-1,SF002,chromium,2026-08-08T10:00:56,0.3s,passed,,,,,,
RUN-20260808-1,SF003,chromium,2026-08-08T10:00:57,0.3s,passed,,,,,,
RUN-20260808-1,SF004,chromium,2026-08-08T10:00:57,0.3s,passed,,,,,,
RUN-20260808-1,CA001,chromium,2026-08-08T10:00:58,1.4s,passed,,,,,,
RUN-20260808-1,CA002,chromium,2026-08-08T10:00:59,0.3s,passed,,,,,,
RUN-20260808-1,CA003,chromium,2026-08-08T10:01:00,0.3s,passed,,,,,,
RUN-20260808-1,CA004,chromium,2026-08-08T10:01:00,0.3s,passed,,,,,,
RUN-20260808-1,DOC001,chromium,2026-08-08T10:01:01,1.4s,passed,,,,,,
RUN-20260808-1,DOC002,chromium,2026-08-08T10:01:02,2.0s,passed,,,,,,
RUN-20260808-1,DOC003,chromium,2026-08-08T10:01:04,2.0s,passed,,,,,,
RUN-20260808-1,DOC004,chromium,2026-08-08T10:01:06,0.3s,passed,,,,,,
RUN-20260808-1,DOC005,chromium,2026-08-08T10:01:07,0.3s,passed,,,,,,
RUN-20260808-1,DOC006,chromium,2026-08-08T10:01:07,1.0s,passed,,,,,,
RUN-20260808-1,PB001,chromium,2026-08-08T10:01:08,1.4s,passed,,,,,,
RUN-20260808-1,PB002,chromium,2026-08-08T10:01:10,1.4s,passed,,,,,,
RUN-20260808-1,REG001,chromium,2026-08-08T10:01:12,1.4s,passed,,,,,,
RUN-20260808-1,REG002,chromium,2026-08-08T10:01:13,0.3s,passed,,,,,,
RUN-20260808-1,REG003,chromium,2026-08-08T10:01:14,0.3s,passed,,,,,,
RUN-20260808-1,DEV001,chromium,2026-08-08T10:01:14,1.4s,passed,,,,,,
RUN-20260808-1,DEV002,chromium,2026-08-08T10:01:16,0.3s,passed,,,,,,
RUN-20260808-1,DEV003,chromium,2026-08-08T10:01:16,1.5s,passed,,,,,,
RUN-20260808-1,DEV004,chromium,2026-08-08T10:01:18,1.4s,passed,,,,,,
RUN-20260808-1,DEV005,chromium,2026-08-08T10:01:19,0.3s,passed,,,,,,
RUN-20260808-1,FLT001,chromium,2026-08-08T10:01:20,1.3s,passed,,,,,,
RUN-20260808-1,FLT002,chromium,2026-08-08T10:01:21,0.3s,passed,,,,,,
RUN-20260808-1,FLT003,chromium,2026-08-08T10:01:22,1.4s,passed,,,,,,
