app,migration_name,applied,status
account,0001_initial,2026-xx-xx,applied
account,0002_auto_20240101,applied
account,0003_auto,applied
account,0004_role_perms_version,applied
account,0005_role_is_global_admin,applied
account,0006_user_active_username,applied
account,0007_role_perms_version_init,applied
alert,0001_initial,applied
alert,0002_alert_is_silent,applied
alert,0003_alert_read_index,applied
contract_agreement,0001_initial,applied
contract_agreement,0002_reminder_ack,applied
data_analysis,0001_initial,applied
department_duty_log,0001_initial,applied
department_duty_log,0002_auto,applied
device,0001_initial,applied
device,0002_device_event,applied
document,0001_initial,applied
document,0002_*（多个）,applied
document,0003_document_transfer,applied
document,0004_is_pending_clean,applied
document,0005_public_space,applied
document,0006_system_folder,applied
document,0007_*（多个）,applied
duty,0001_initial,applied
evidence,0001_initial,applied
evidence,0002_evidence_events,applied
fault,0001_initial,applied
fault,0002_fault_parts,applied
home,0001_initial,applied
home,0002_announcement_reads,applied
home,0003_announcement_scopes,applied
home,0004_navigation_sort,applied
home,0005_notice_tenant,applied
interference,0001_initial,applied
logs,0001_initial,applied
logs,0002_audit_log_sequence,applied
radio_license,0001_initial,applied
radio_license,0002_frequency,applied
radio_license,0003_reminder_ack,applied
radio_license,0004_version,applied
regulation,0001_initial,applied
regulation,0002_attachment,applied
regulation,0003_category,applied
reminder,0001_initial,applied
reminder,0002_reminder_log,applied
runlog,0001_initial,applied
runlog,0002_event_type_config,applied
runlog,0003_runlog_update,applied
setting,0001_initial,applied
setting,0002_user_settings,applied
signature,0001_initial,applied
signature,0002_signature_usage,applied
upgrade,0001_initial,applied
upgrade,0002_*（多个）,applied
